Name,Country,Sector,Company
José Auriemo Neto,Brasil,Bienes Raíces,JHSF
José Ignacio Escobar,Chile,Energía,Colbún
João Adibe,Brasil,Farmacéutica,Cimed
João Marques da Cruz,Brasil,Energía,EDP
João Roberto Marinho,Brasil,Medios y Entretenimiento,Globo
Juan Carlos Escotet,Venezuela,Finanzas,Banesco Banco Universal C.A.
Juan Carlos Mora,Colombia,Finanzas,Bancolombia
Juan Francisco Beckmann Vidal,México,Bebidas y Alimentos,José Cuervo
Juan Gallardo Thurlow,México,Alimentos y bebidas,Organización Cultiba
Juan José Gutiérrez y Juan Luis Bosch,Guatemala,Manufactura e Inversiones,CMI Alimentos y Capital
Juan Patricio Riveroll,México,Lobby,AMIS
Juan R. Luciano,EEUU,Agronegocios,ADM
Juan Raúl Vélez,Colombia,Manufactura,Vélez
Juan Ricardo Ortega,Colombia,Energía,Grupo de Energía de Bogotá
Juana Barceló,República Dominicana,Minería,Barrick Pueblo Viejo
Juliana Cury,Brasil,Alimentos y Bebidas,Burger King Brasil
Justin Vélez-Hagan,Puerto Rico,Lobby,Cámara de Comercio de Puerto Rico
Karen Flores Arrendondo,México,Lobby,Cámara Minera
Karen Santos,Brasil,Tecnología,UX para Minas Pretas
Karine Oliveira,Brasil,TechEd,Wakanda Educação
Katia Barros,Brasil,Comercio,FARM
Kim Farrell,Brasil,Tecnología,TikTok
Laura Barnator,Argentina,Comercio,Unilever
Laura Diez Barroso,México,Finanzas,Santander México
Leon Falic,Panamá,Comercio,Ueta Inc
Leonel Andrade,Brasil,Viajes,CVC Corp
Leonor Espinosa,Colombia,Alimentos,Leococina
Liliana Restrepo,Colombia,Alimentos,Frisby
Liliana Reyes,México,Lobby,Amexcap
Lionel Messi,Argentina,Deportes,Futbolista
Lorenzo Mendoza,Venezuela,Alimentos,Grupo Polar
Loypa Izaguirre,Cuba,Emprendedora,Color Café
Luanna Toniolo Domakoski,Brasil,E-commerce,Troc
Luciane Ribeiro,Brasil,Finanzas,3V Capital
Lucy Valenti,Nicaragua,Viajes,Empresaria de Turismo
Luis Carlos Sarmiento Angulo,Colombia,Finanzas,Grupo Aval
Luis Enrique Yarur,Chile,Finanzas,BCI
Luis Javier Castro,Costa Rica,Finanzas,Mesoamérica
Luis Justo,Brasil,Medios y Entretenimiento,Rock in Rio
Luis Madrazo Lajous,México,Fintech,Ualá
Luis Merchán,Colombia,Cannabis,Flora Growth
Luis Pagani,Argentina,Alimentos y Bebidas,Arcor
Luis Stuhlberger,Brasil,Finanzas,Verde Asset
Luis Von Ahn,Guatemala,Tecnología Educativa,Duolingo
Luiz Barsi Filho,Brasil,Finanzas,Investor
Luiz Frias,Brasil,Medios y Entretenimiento,Grupo Folha
Luiz Schwarcz,Brasil,Medios y Entretenimiento,Companhia das Letras
Luiza Trajano,Brasil,Comercio,Magalu
Luz Adriana Ramírez,México,Finanzas,Visa
Luz Elena Jurado,México,Automotriz,Volvo
Luz María Correa,Colombia,Construcción,El Cóndor
Luz María Gutiérrez,México,Energía,G500
Magdalena López,México,Automotriz,Renault
Maju Coutinho,Brasil,Medios y Entretenimiento,Globo
Maluma,Colombia,Inversor,Inversor
Mano Brown,Brasil,Medios y Entretenimiento,Mano Brown
Manuel G. Rivero,México,Finanzas,BanRegio
Marcel Herrmann Telles,Brasil,Alimentos y Bebidas,3G/Ab Inbev
Marcela Ceribelli,Brasil,Medios y Entretenimiento,Obvious
Marcela Vaca,Colombia,Energía,GeoPark
Marcelo Braga,Brasil,Tecnología,IBM
Marcelo Claure,Bolivia,Inversionista,Claure Group
Marcelo Figueiras,Argentina,Salud,Richmond
Marcelo Kalim,Brasil,Finanzas,C6 Bank
Marcelo Mindlin,Argentina,Energía,Pampa Energía
Marcilio D’Amico Pousada,Brasil,Comercio,Raia Drogasil
Marco Antônio Cassou,Brasil,Transporte,Ecorodovias
Marcos Galperin,Argentina,Tecnología,MercadoLibre
Marcos Leta,Brasil,Agtech,Fazenda Futuro
Marcos Lisboa,Brasil,Educación,Insper
Marcos Lutz,Brasil,Petróleo y Gas,Ultrapar
Marcos Molina,Brasil,Alimentos y Bebidas,Marfrig
Maria Fuentes,Brasil,Fintech,Pride Bank
Mariana Dias,Brasil,Tecnología,Gupy
Maricarmen Suárez Cué,México,Finanzas,Bx+
Marie Djordjian,México,Energía,Total
Marina Willisch,Brasil,Automotriz,GM
Marino Colpo,Brasil,Agronegocios,Boa Safra
